animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
13,learner,23,CA1-V1,intermediate,20538,24,64,21,20,0.2577,1,0.0344,0.0073,0,0.3036,0.5777,0.3109,0.3126,18.14,19.56
13,learner,23,CA1-V1,expert,18859,24,64,21,20,0.2575,1,0.0343,-0.0119,0,0.2274,0.5641,0.2949,0.2819,29.24,19.26
14,learner,39,DMS-DLS,naive,14749,31,26,23,20,0.1357,1,0.0093,-0.0279,-10,0.4603,0.3402,0.3308,0.3534,60.16,79.71
14,learner,39,DMS-DLS,intermediate,11968,31,26,23,20,-0.0464,0,0.0,0.0326,-14,0.5141,0.463,0.4435,0.3419,85.24,53.21
14,learner,39,DMS-DLS,expert,10506,31,26,23,20,0.0891,0,0.0,0.0438,5,0.5075,0.454,0.4797,0.4088,75.05,75.39
14,learner,39,DMS-ACC,naive,14749,31,23,26,20,0.0476,0,0.0,-0.0815,0,0.4835,0.6,0.6453,0.684,48.6,79.56
14,learner,39,DMS-ACC,intermediate,11968,31,23,26,20,0.0547,0,0.0,-0.0913,-2,0.5169,0.4295,0.5164,0.4923,85.42,89.69
14,learner,39,DMS-ACC,expert,10506,31,23,26,20,0.083,0,0.0,-0.0672,5,0.4988,0.352,0.6035,0.4559,79.28,68.69
14,learner,39,DLS-ACC,naive,14749,26,23,31,20,0.1822,1,0.0169,0.04,18,0.3518,0.599,0.4435,0.5252,88.41,89.94
14,learner,39,DLS-ACC,intermediate,11968,26,23,31,20,-0.0109,0,0.0,0.0584,7,0.4567,0.4294,0.4267,0.4769,76.99,89.67
14,learner,39,DLS-ACC,expert,10506,26,23,31,20,-0.0057,0,0.0,0.0337,23,0.4383,0.3516,0.411,0.4096,87.46,88.67
